Well-No.	Plate-ID	Image-No.	Control	Field-of-View	X-Coord	Y-Coord	Classes
10019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/010019000.flex	ER-PRO	17	127	250	6
8024000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/008024000.flex	ER-PRO	5	442	342	6
15019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015019000.flex	ER-PRO	11	179	351	6
15018000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015018000.flex	ER-PRO	15	510	235	6
11023000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/011023000.flex	ER-PRO	11	381	63	7
14018000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/014018000.flex	ER-PRO	2	516	61	7
6024000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/006024000.flex	ER-PRO	2	129	181	7
15019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015019000.flex	ER-PRO	6	306	103	7
14022000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/014022000.flex	ER-PRO	3	536	383	7
13007000	VAMP_DEG_BIN1_Pl65_20140327	Z:/WIEBKE_SANTOSH/20140327/image_data_plate_maps/VAMP_DEG_BIN1_Pl65_20140327/Meas_01(2014-03-27_19-11-34)/013007000.flex	ERGIC	15	594	66	8
11007000	VAMP_DEG_BIN1_Pl53_20140219	Z:/WIEBKE_SANTOSH/20140219/image_data_plate_maps/VAMP_DEG_BIN1_Pl53_20140219/Meas_01(2014-02-19_10-36-09)/011007000.flex	ERGIC	17	193	419	8
